(-1)^x               | OK | (-1)^x
(-2)^x               | OK | (-2)^x
(-1/2)^x             | OK | (-1/2)^x
(-1.5)^x             | OK | (-3/2)^x
(-x)^2               | OK | (-x)^2
(-x - 1)^2           | OK | (-x - 1)^2
(-3)^(-x)            | OK | (-3)^(-x)
(1/2)^x              | OK | (1/2)^x
(2/3)^x              | OK | (2/3)^x
(-3/2)^x             | OK | (-3/2)^x
(x/y)/z              | OK | x/y/z
x/y/z                | OK | x/y/z
x/y/z/w              | OK | x/w/y/z
(x/y)/(z/w)          | OK | x/y/(z/w)
x/(y*z)              | OK | x/(y*z)
(x*y)/(z*w)          | OK | x*y/(w*z)
(x/y)*z              | OK | x*z/y
x*y/z                | OK | x*y/z
x/y/x                | OK | x/x/y
x - (y - a)          | OK | x - (y - a)
-(x + y)             | OK | -(x + y)
x^(-2)               | OK | x^-2
(x + 1)^(-1)         | OK | (x + 1)^-1
sqrt(x + y)          | OK | sqrt(x + y)
x^y^2                | OK | x^(y^2)
(x^y)^2              | OK | (x^y)^2
-x^2                 | OK | -x^2
exp(-x^2)            | OK | exp(-x^2)
1/(2*(x + 1))        | OK | (2*(x + 1))^-1
apart(1/(x^2 - 1), x) | OK | -1/2/(x + 1) + 1/2/(x - 1)
SUMMARY ok=30 bad=0 other=0 of 30; source=AOT published binary
