arg,fn,literalMs,nodeMs,evalMs,isExact,totalMs
pi30,sin,0.93,62.30,1.1,False,64.3
pi30,cos,0.01,1.66,0.0,False,1.7
pi30,tan,0.01,3.04,0.0,False,3.1
pi30,exp,0.01,28.23,0.0,False,28.3
pi30,atan,0.01,57.73,0.0,False,57.8
pi30,sinh,0.01,27.86,0.0,False,27.9
pi30,cosh,0.01,27.83,0.0,False,27.8
pi30,tanh,0.01,56.01,0.0,False,56.0
pi30,sqrt,0.01,1.37,148.3,False,149.7
pi41,sin,0.02,1.08,0.0,False,1.1
pi41,cos,0.01,1.01,0.0,False,1.0
pi41,tan,0.01,2.25,0.0,False,2.3
pi41,exp,0.01,40.57,0.0,False,40.6
pi41,atan,0.01,58.43,0.0,False,58.5
pi41,sinh,0.01,40.60,0.0,False,40.6
pi41,cosh,0.01,41.05,0.0,False,41.1
pi41,tanh,0.01,82.75,0.0,False,82.8
pi41,sqrt,0.01,0.02,163.3,False,163.3
e30,sin,0.01,91.38,0.0,False,91.4
e30,cos,0.01,90.75,0.0,False,90.8
e30,tan,0.01,177.46,0.0,False,177.5
e30,exp,0.01,59.90,0.0,False,59.9
e30,atan,0.01,41.76,0.0,False,41.8
e30,sinh,0.01,59.45,0.0,False,59.5
e30,cosh,0.01,60.14,0.0,False,60.2
e30,tanh,0.01,119.66,0.0,False,119.7
e30,sqrt,0.01,0.01,109.3,False,109.4
e49,sin,0.01,61.91,0.0,False,61.9
e49,cos,0.01,62.33,0.0,False,62.4
e49,tan,0.01,130.87,0.0,False,130.9
e49,exp,0.01,89.54,0.0,False,89.6
e49,atan,0.01,42.50,0.0,False,42.5
e49,sinh,0.01,87.71,0.0,False,87.7
e49,cosh,0.01,88.03,0.0,False,88.0
e49,tanh,0.01,174.99,0.0,False,175.0
e49,sqrt,0.01,0.01,107.8,False,107.8
sqrt2,sin,0.01,38.84,0.0,False,38.9
sqrt2,cos,0.01,39.44,0.0,False,39.5
sqrt2,tan,0.01,79.31,0.0,False,79.3
sqrt2,exp,0.01,62.41,0.0,False,62.4
sqrt2,atan,0.01,69.27,0.0,False,69.3
sqrt2,sinh,0.01,60.75,0.0,False,60.8
sqrt2,cosh,0.01,60.00,0.0,False,60.0
sqrt2,tanh,0.01,120.97,0.0,False,121.0
sqrt2,sqrt,0.01,0.01,69.7,False,69.7
sqrt3,sin,0.01,41.62,0.0,False,41.6
sqrt3,cos,0.01,41.67,0.0,False,41.7
sqrt3,tan,0.01,84.37,0.0,False,84.4
sqrt3,exp,0.01,104.18,0.0,False,104.2
sqrt3,atan,0.01,55.00,0.0,False,55.0
sqrt3,sinh,0.01,103.85,0.0,False,103.9
sqrt3,cosh,0.01,103.47,0.0,False,103.5
sqrt3,tanh,0.01,203.62,0.0,False,203.6
sqrt3,sqrt,0.01,0.01,75.5,False,75.5
sin1,sin,0.81,9986.43,0.0,False,9987.3
sin1,cos,1.01,9942.16,0.0,False,9943.2
sin1,tan,1.02,19907.49,0.0,False,19908.5
sin1,exp,0.83,9887.83,0.0,False,9888.7
sin1,atan,1.01,8687.22,0.0,False,8688.2
sin1,sinh,0.83,9869.04,0.0,False,9869.9
sin1,cosh,0.99,9813.17,0.0,False,9814.2
sin1,tanh,1.04,20236.31,0.0,False,20237.4
sin1,sqrt,1.01,0.01,72.7,False,73.7
cos1,sin,0.88,8905.22,0.0,False,8906.1
cos1,cos,1.31,8884.16,0.0,False,8885.5
cos1,tan,0.93,18178.69,0.0,False,18179.6
cos1,exp,1.03,8964.68,0.0,False,8965.7
cos1,atan,0.87,7032.20,0.0,False,7033.1
cos1,sinh,0.88,8856.89,0.0,False,8857.8
cos1,cosh,0.87,8805.65,0.0,False,8806.5
cos1,tanh,0.86,17849.58,0.1,False,17850.5
cos1,sqrt,1.02,0.01,84.6,False,85.6
exp1,sin,3.46,22873.29,0.0,False,22876.8
exp1,cos,4.13,22944.93,0.0,False,22949.1
exp1,tan,3.98,45878.42,0.0,False,45882.4
exp1,exp,3.91,30947.12,0.0,False,30951.1
exp1,atan,4.03,51.37,0.0,False,55.4
exp1,sinh,4.14,30829.49,0.0,False,30833.6
exp1,cosh,4.14,31054.27,0.0,False,31058.4
exp1,tanh,4.16,61762.55,0.0,False,61766.7
exp1,sqrt,4.14,0.02,137.1,False,141.2
exp2,sin,13.14,58328.32,0.0,False,58341.5
exp2,cos,11.14,59607.15,0.0,False,59618.3
exp2,tan,12.40,125726.83,0.0,False,125739.3
exp2,exp,11.96,61949.07,0.0,False,61961.0
exp2,atan,12.46,33.65,0.0,False,46.1
exp2,sinh,11.66,61795.81,0.0,False,61807.5
exp2,cosh,12.47,62827.36,0.0,False,62839.8
exp2,tanh,13.01,139428.28,0.0,False,139441.3
exp2,sqrt,12.02,0.03,326.7,False,338.7
pi_10,sin,0.01,33.34,0.0,False,33.4
pi_10,cos,0.01,31.61,0.0,False,31.6
pi_10,tan,0.01,65.58,0.0,False,65.6
pi_10,exp,0.01,36.20,0.0,False,36.2
pi_10,atan,0.01,44.36,0.0,False,44.4
pi_10,sinh,0.01,36.35,0.0,False,36.4
pi_10,cosh,0.01,36.37,0.0,False,36.4
pi_10,tanh,0.01,73.03,0.0,False,73.0
pi_10,sqrt,0.01,0.01,125.9,False,125.9
pi_6,sin,0.01,51.73,0.0,False,51.8
pi_6,cos,0.01,50.21,0.0,False,50.2
pi_6,tan,0.01,105.89,0.0,False,105.9
pi_6,exp,0.01,60.99,0.0,False,61.0
pi_6,atan,0.01,60.28,0.0,False,60.3
pi_6,sinh,0.01,63.84,0.0,False,63.9
pi_6,cosh,0.01,63.08,0.0,False,63.1
pi_6,tanh,0.01,130.07,0.0,False,130.1
pi_6,sqrt,0.01,0.01,88.4,False,88.4
pi_4,sin,0.01,51.86,0.0,False,51.9
pi_4,cos,0.01,54.51,0.0,False,54.5
pi_4,tan,0.01,105.79,0.0,False,105.8
pi_4,exp,0.01,56.61,0.0,False,56.6
pi_4,atan,0.01,76.78,0.0,False,76.8
pi_4,sinh,0.01,55.30,0.0,False,55.3
pi_4,cosh,0.01,55.42,0.0,False,55.4
pi_4,tanh,0.01,110.86,0.0,False,110.9
pi_4,sqrt,0.01,0.01,72.5,False,72.6
pi_3,sin,0.01,78.37,0.0,False,78.4
pi_3,cos,0.01,76.61,0.0,False,76.6
pi_3,tan,0.01,160.47,0.0,False,160.5
pi_3,exp,0.01,18.68,0.0,False,18.7
pi_3,atan,0.01,87.40,0.0,False,87.4
pi_3,sinh,0.01,20.52,0.0,False,20.5
pi_3,cosh,0.01,20.29,0.0,False,20.3
pi_3,tanh,0.01,39.90,0.0,False,39.9
pi_3,sqrt,0.01,0.01,49.9,False,49.9
sqrt2_2,sin,0.02,94.54,0.0,False,94.6
sqrt2_2,cos,0.01,92.96,0.0,False,93.0
sqrt2_2,tan,0.01,191.40,0.0,False,191.4
